Date,Open,High,Low,Close,Adj Close,Volume
2002/4/30,50.330002,50.330002,49.16,49.16,37.579525,9700
2002/5/1,49.110001,50.099998,49.110001,50.099998,38.298065,8300
2002/5/2,50.099998,50.41,50.099998,50.240002,38.405106,3300
2002/5/3,50.240002,50.439999,49.75,50.25,38.412743,6400
2002/5/6,50.400002,50.400002,49.25,49.389999,37.755337,3700
2002/5/7,49.23,50.09,48.490002,48.490002,37.067348,38400
2002/5/8,48.709999,49.41,46.700001,46.700001,35.699001,23400
2002/5/9,47.98,47.98,44.5,44.75,34.208382,24400
2002/5/10,44.990002,45,44.110001,44.240002,33.818512,12300
2002/5/13,44.5,45.060001,44.189999,45.049999,34.437698,19800
2002/5/14,45.34,48.75,45.049999,48.75,37.266109,26700
2002/5/15,48.77,49.049999,47.790001,48.419998,37.204643,9300
2002/5/16,48.470001,48.470001,46.759998,46.799999,35.959862,10300
2002/5/17,46.709999,47.880001,46.709999,47,36.113537,7900
2002/5/20,47,47.450001,46.400002,46.799999,35.959862,10400
2002/5/21,46.5,47.27,46.5,46.529999,35.752392,27400
2002/5/22,46.529999,47.09,46.5,46.5,35.729359,2000
2002/5/23,47.09,47.880001,46.709999,46.900002,36.036705,7500
2002/5/24,46.91,47.959999,46.900002,47.959999,36.851173,4400
2002/5/28,48.48,48.5,48.029999,48.25,37.074001,3700
2002/5/29,48.98,48.98,48.200001,48.240002,37.066341,8400
2002/5/30,48.689999,48.689999,47.720001,48.450001,37.22768,7500
2002/5/31,48.75,50,48.540001,49.439999,37.988365,12600
2002/6/3,49.990002,49.990002,48.849998,48.869999,37.550404,7600
2002/6/4,48.509998,48.950001,47.849998,47.869999,36.782036,32000
2002/6/5,47.599998,48.209999,47.25,47.5,36.497738,6600
2002/6/6,47.41,47.41,46.330002,46.330002,35.598721,8600
2002/6/7,47,47,45.799999,45.939999,35.299068,10900
2002/6/10,46.98,46.990002,44.400002,44.5,34.192604,16800
2002/6/11,45.389999,45.790001,44.400002,45.490002,34.953289,9000
2002/6/12,45.5,45.889999,45.220001,45.299999,34.807312,9800
2002/6/13,45.299999,45.299999,43.799999,43.93,33.754631,5300
2002/6/14,44.25,45.66,44.110001,44.799999,34.423115,21700
2002/6/17,45,45.889999,44.529999,45.5,34.960987,12700
2002/6/18,45.759998,46.299999,45.540001,45.900002,35.268326,8600
2002/6/19,45.5,46.040001,45.200001,45.509998,34.96867,6400
2002/6/20,45.259998,45.939999,44.299999,44.509998,34.20031,25600
2002/6/21,44.580002,44.580002,42.650002,42.66,32.778797,24400
2002/6/24,43.799999,44,42.740002,43.970001,33.785374,9400
2002/6/25,43.970001,44.599998,43.73,43.73,33.600956,19800
2002/6/26,43.5,43.5,42.299999,42.959999,33.009308,10400
2002/6/27,42.349998,43.049999,42.349998,43.049999,33.078457,7600
2002/6/28,43.040001,43.599998,42.540001,43,33.040047,11900
2002/7/1,43.650002,43.650002,42.5,42.990002,33.032379,7600
2002/7/2,43.66,43.66,42.209999,43.650002,33.539482,8600
2002/7/3,43,44.049999,42.439999,42.799999,32.886375,24100
2002/7/5,42.389999,43.400002,42.389999,42.450001,32.617435,600
2002/7/8,42.299999,42.93,42.299999,42.619999,32.748066,3800
2002/7/9,43.290001,43.290001,42.299999,42.509998,32.663536,6400
2002/7/10,42.549999,43.439999,42.549999,43.25,33.232132,3500
2002/7/11,43.830002,43.830002,41.75,41.849998,32.156425,6500
2002/7/12,41.759998,42.290001,41.299999,41.860001,32.164101,7500
2002/7/15,42.540001,42.540001,41.380001,41.990002,32.263992,10200
2002/7/16,41.990002,42.709999,41.509998,42.099998,32.348507,6700
2002/7/17,42.490002,43.5,42.369999,43.5,33.42424,34800
2002/7/18,43.52,43.950001,43.43,43.700001,33.577904,8200
2002/7/19,43.950001,44.5,42.950001,43.299999,33.270561,12200
2002/7/22,43.990002,43.990002,42.330002,43.349998,33.308983,16600
2002/7/23,43,43.5,42.32,42.34,32.532928,4600
2002/7/24,42.259998,45,41.779999,44.48,34.177235,13900
2002/7/25,44.290001,49.220001,44.16,49.02,37.665665,28600
2002/7/26,49.009998,49.75,48.369999,48.380001,37.173901,23500
2002/7/29,47.509998,48.950001,46.759998,48.950001,37.611874,16600
2002/7/30,48.950001,49.700001,47.75,48.470001,37.243053,7500
2002/7/31,48.200001,48.450001,47.5,47.700001,36.651409,7800
2002/8/1,48.119999,48.119999,46.23,46.869999,36.013634,16300
2002/8/2,47,47.189999,43.009998,44.5,34.192604,18400
2002/8/5,44.639999,45.130001,42.389999,42.830002,32.909431,18400
2002/8/6,43.43,44.220001,43.150002,43.889999,33.723904,12700
2002/8/7,44.450001,44.5,43.5,44.43,34.138824,3900
2002/8/8,43.799999,44,43,43,33.040047,11600
2002/8/9,43.5,44,43.009998,43.5,33.42424,5800
2002/8/12,43.610001,45.380001,43.419998,44.450001,34.15419,9900
2002/8/13,43.48,44,43.080002,43.689999,33.570213,14100
